ADDRESS_TYPE,X_COORD,Y_COORD,LATITUDE,LONGITUDE,ADDRESS_NUMBER_PREFIX,ADDRESS_NUMBER,ADDRESS_NUMBER_SUFFIX,PREMODIFIER,PREDIRECTIONAL,STREET_NAME,POSTTYPE,POSTDIRECTIONAL,POSTMODIFIER,BUILDING_TYPE,BUILDING_IDENTIFIER,UNIT_TYPE,UNIT_IDENTIFIER,COMPOSITE_UNIT_TYPE,COMPOSIT_UNIT_IDENTIFIER,FULL_ADDRESS
S,3191916.0,1710545.0,39.78227325,-104.81714638,,4942.0,,,N,Altura,St,,,,,,,,,4942 N Altura St
S,3191930.0,1710598.0,39.78241845,-104.81709515,,4952.0,,,N,Altura,St,,,,,,,,,4952 N Altura St
S,3191944.0,1710651.0,39.78256365,-104.81704392,,4972.0,,,N,Altura,St,,,,,,,,,4972 N Altura St
S,3191974.0,1710762.0,39.78286774,-104.81693421,,4992.0,,,N,Altura,St,,,,,,,,,4992 N Altura St
S,3192057.0,1710740.0,39.78280563,-104.81663949,,4995.0,,,N,Enid,Way,,,,,,,,,4995 N Enid Way
S,3191959.0,1710363.0,39.78177275,-104.81699826,,4915.0,,,N,Enid,Way,,,,,,,,,4915 N Enid Way
S,3191942.0,1710306.0,39.78161663,-104.81706027,,4905.0,,,N,Enid,Way,,,,,,,,,4905 N Enid Way
S,3208269.0,1706894.0,39.7718991,-104.75906943,,19501.0,,,E,40th,Dr,,,,,,,,,19501 E 40th Dr
S,3208344.0,1709000.0,39.7776786,-104.75874149,,4530.0,,,N,Flanders,Way,,,,,,,,,4530 N Flanders Way
S,3205010.0,1726164.0,39.82486909,-104.77011226,,18600.0,,,E,71st,Ave,,,,,,,,,18600 E 71st Ave
S,3205008.0,1725827.0,39.82394405,-104.77012902,,18625.0,,,E,70th,Ave,,,,,,,,,18625 E 70th Ave
S,3204728.0,1725837.0,39.82397767,-104.77112555,,7010.0,,,N,Tower,Rd,,,,,,,,,7010 N Tower Rd
S,3207412.0,1709222.0,39.77830883,-104.76205086,,19364.0,,,E,Adak,Pl,,,,,,,,,19364 E Adak Pl
S,3209097.0,1709441.0,39.77887228,-104.7560497,,4530.0,,,N,Gibraltar,St,,,,,,,,,4530 N Gibraltar St
S,3209216.0,1710471.0,39.78169705,-104.75559629,,4705.0,,,N,Iran,St,,,,,,,,,4705 N Iran St
S,3209240.0,1710526.0,39.78184749,-104.7555093,,4745.0,,,N,Iran,St,,,,,,,,,4745 N Iran St
S,3209494.0,1710670.0,39.78223707,-104.75460139,,4782.0,,,N,Iran,St,,,,,,,,,4782 N Iran St
S,3209490.0,1710590.0,39.78201755,-104.75461795,,4762.0,,,N,Iran,St,,,,,,,,,4762 N Iran St
S,3209438.0,1710530.0,39.78185401,-104.75480472,,4752.0,,,N,Iran,St,,,,,,,,,4752 N Iran St
S,3213895.0,1707689.0,39.77395379,-104.7390318,,4140.0,,,N,Odessa,St,,,,,,,,,4140 N Odessa St
